estacion,m/s vento a 10m,Refacho a 10m (m/s), (m/s),Refacho a 30m (m/s),Desviación típica da velocidade do vento a 30m (m/s),Desviación típica da velocidade do vento a 10m (m/s),Desviación típica da dirección do vento a 10m (grados),Desviación típica da dirección do vento a 30m (grados),Dirección do refacho a 30m (grados),Dirección do vento a 30m (grados),Dirección do refacho a 10m (grados),Dirección do vento a 10m (grados),Temperatura a 1.5m (grados C),Temperatura a 0.1m (grados C),Temperatura a 30m (grados C),Temperatura a 10m (grados C),Humidade Relativa a 10m (%),Humidade Relativa a 1.5m (%),Radiación solar W/m2,Radiación difusa W/m2,Chuvia L/m2,Presión hPa,Horas de sol,Temperatura de orballo a 1.5m ºC,Temperatura do chan a -0.5m ºC,Temperatura do chan a -0.1m ºC/26/_Valor,Presión reducida hPa,_Data,chove nas pŕoximas 3h,sol directo,alta humidade,rego
81,"0,95","1,54","2,08","2,71","0,25","0,26",13,5,147,142,122,105,"10,76","10,08","11,69","11,08",94,97,0,0,0,"982,46",0,"10,26","18,1","17,27","1012,98",19/10/2017 0:10:00,0,1,1,0
81,"1,12","1,85","2,02","2,68","0,3","0,32",12,6,144,137,120,103,"10,7","10,01","11,72","11,08",94,96,0,0,0,"982,38",0,"10,17","18,1","17,25","1012,91",19/10/2017 0:20:00,0,1,1,0
81,"1,12","2,06","2,7","3,4","0,3","0,39",23,5,142,138,118,97,"10,56","9,96","11,66","11,02",94,96,0,0,0,"982,29",0,10,"18,11","17,22","1012,83",19/10/2017 0:30:00,0,1,1,0
81,"0,73","1,9","2,14","3,46","0,66","0,4",42,12,131,146,126,107,"10,5","9,78","11,42","10,81",94,96,0,0,0,"982,26",0,"9,94","18,11","17,2","1012,8",19/10/2017 0:40:00,0,1,1,0
81,"0,91","1,95","1,5","2,12","0,3","0,5",19,8,138,150,88,113,"10,5","9,89","11,41","10,74",94,96,0,0,0,"982,19",0,"9,94","18,11","17,17","1012,73",19/10/2017 0:50:00,0,1,1,0
81,"1,21","1,96","2,14","2,94","0,28","0,31",21,11,142,148,137,101,"10,44","9,93","11,66","10,81",94,96,0,0,0,"982,12",0,"9,86","18,11","17,14","1012,67",19/10/2017 1:00:00,0,1,1,0
81,"0,76","1,85","2,19","2,94","0,31","0,38",14,6,150,147,99,103,"10,54","10,02","11,5","10,83",93,96,0,0,0,"982,05",0,"9,96","18,11","17,12","1012,59",19/10/2017 1:10:00,0,1,1,0
81,"0,95","2,16","1,89","2,87","0,4","0,37",22,10,132,137,92,109,"10,57","10,02","11,37","10,78",93,96,0,0,0,"982,04",0,"9,98","18,11","17,09","1012,57",19/10/2017 1:20:00,0,1,1,0
81,"1,34","2,27","2,64","3,59","0,4","0,39",20,7,134,135,84,101,"10,54","10,13","11,29","10,77",93,96,0,0,0,"982,02",0,"9,9","18,11","17,07","1012,56",19/10/2017 1:30:00,0,1,1,0
81,"0,75","1,85","2,25","3,4","0,55","0,41",38,13,141,142,116,110,"10,56","10,09","11,38","10,83",93,96,0,0,0,"982,06",0,"9,9","18,11","17,05","1012,6",19/10/2017 1:40:00,0,1,1,0
